id,name,exercise_type,Targeted_body_part,Video_Link
1,"Stair Climbing",Cardio,Legs,https://www.youtube.com/watch?v=1hiWQ7pehjQ
2,"Elliptical Trainer",Cardio,Legs,https://www.youtube.com/watch?v=EesEvYohy5o
3,"Rowing Machine",Weight_Training,Back,https://www.youtube.com/watch?v=6_eLpWiNijE
4,"Stairmaster",Cardio,Legs,https://www.youtube.com/watch?v=xSB39wbMz4w
5,"Stationary Bicycle",Cardio,Legs,https://www.youtube.com/watch?v=NwwDBARCGgo
6,"Treadmill",Cardio,Legs,https://www.youtube.com/watch?v=HxsFneJFM2c
7,"Jogging",Cardio,Legs,https://www.youtube.com/watch?v=kVnyY17VS9Y
8,"Nordic Walking",Cardio,Legs,https://www.youtube.com/watch?v=zAmsHhc2zCw
9,"Squat",Weight_Training,Legs,https://www.youtube.com/watch?v=YaXPRqUwItQ&t=33s
10,"Leg Press",Weight_Training,Legs,https://www.youtube.com/watch?v=CHPHn-OnTqE
11,"Lunge",Weight_Training,Legs,https://www.youtube.com/watch?v=wrwwXE_x-pQ
12,"Calf Raise",Weight_Training,Legs,https://www.youtube.com/watch?v=k8ipHzKeAkQ
13,"Leg Extension",Weight_Training,Legs,https://www.youtube.com/watch?v=swZQC689o9U
14,"Deadlift",Weight_Training,Legs,https://www.youtube.com/watch?v=XxWcirHIwVo
15,"Leg Curl",Weight_Training,Legs,https://www.youtube.com/watch?v=F488k67BTNo
16,"Bench Press",Weight_Training,Chest,https://www.youtube.com/watch?v=4Y2ZdHCOXok
17,"Fly",Weight_Training,Chest,https://www.youtube.com/watch?v=QENKPHhQVi4
18,"Push Up",Calisthenics,Chest,https://www.youtube.com/watch?v=JyCG_5l3XLk
19,"Bent-over Row",Weight_Training,Back,https://www.youtube.com/watch?v=FWJR5Ve8bnQ
20,"Chin-up",Calisthenics,Back,https://www.youtube.com/watch?v=brhRXlOhsAM
21,"Pulldown",Weight_Training,Back,https://www.youtube.com/watch?v=CAwf7n6Luuc
22,"Pullup",Calisthenics,Back,https://www.youtube.com/watch?v=eGo4IYlbE5g
23,"Shoulder Shrug",Weight_Training,Shoulders,https://www.youtube.com/watch?v=cJRVVxmytaM
24,"Front Raise",Weight_Training,Shoulders,https://www.youtube.com/watch?v=qmFQTDYwpsg
25,"Handstand Pushup",Calisthenics,Arms,https://www.youtube.com/watch?v=J72BWjAGzVg
26,"Lateral Raise",Weight_Training,Shoulders,https://www.youtube.com/watch?v=kDqklk1ZESo
27,"Military Press",Weight_Training,Shoulders,https://www.youtube.com/watch?v=KP1sYz2VICk
28,"Shoulder Press",Weight_Training,Shoulders,https://www.youtube.com/watch?v=rO_iEImwHyo
29,"Upright Row",Weight_Training,Back,https://www.youtube.com/watch?v=17C6iROOsR4 
30,"Rear Delt Raise",Weight_Training,Shoulders,https://www.youtube.com/watch?v=Z0HTsZEMedA
31,"Biceps Curl",Weight_Training,Arms,https://www.youtube.com/watch?v=uO_CNYidOw0
32,"Dip",Calisthenics,Chest,https://www.youtube.com/watch?v=yN6Q1UI_xkE
33,"Pushdown",Weight_Training,Arms,https://www.youtube.com/watch?v=kiuVA0gs3EI
34,"Triceps Extension",Weight_Training,Arms,https://www.youtube.com/watch?v=nRiJVZDpdL0
35,"Crunch",Calisthenics,Abs,https://www.youtube.com/watch?v=MKmrqcoCZ-M
36,"Sit-up",Calisthenics,Abs,https://www.youtube.com/watch?v=jDwoBqPH0jk
37,"Leg Raise",Calisthenics,Abs,https://www.youtube.com/watch?v=l4kQd9eWclE
39,"Back Extension",Calisthenics,Back,https://www.youtube.com/watch?v=ph3pddpKzzw
40,"Hyperextension",Calisthenics,Back,https://www.youtube.com/watch?v=H8Swl1N-uis
